time,group,order,char,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49
1,组01,排01,节,1.6919922,-0.5008044,0.7924019,1.1662887,1.2550038,0.17084454,-0.057331633,-0.8563552,-0.81334186,0.37239492,0.18631972,0.6030056,0.66408676,-0.16820943,-0.874503,-0.21140632,-0.33925128,0.3160505,-0.69991755,-1.2808855,-0.5600616,-0.34896448,-0.8265621,-0.19017152,-1.0502437,-0.02866471,0.53733397,0.17585443,0.07854496,-0.39483216,0.06068303,0.21066809,-0.31041977,0.15175673,-0.23939712,-0.090871945,0.39831242,-0.27747422,0.21364588,-0.0045424597,-0.36115474,-0.0893357,-0.10392518,-0.29061,0.32391265,-0.10611571,-0.22191158,0.08571945,-0.024482457,-0.39942896
1,组01,排01,考,1.6919957,-0.5008046,0.79239976,1.1662868,1.2550032,0.17084485,-0.057332225,-0.8563562,-0.813342,0.37239498,0.18631975,0.6030065,0.66408575,-0.16820863,-0.8745024,-0.21140683,-0.33925086,0.3160507,-0.69991714,-1.2808849,-0.56006175,-0.34896457,-0.82656157,-0.19017151,-1.0502442,-0.02866441,0.5373344,0.17585391,0.0785452,-0.3948323,0.060682382,0.21066791,-0.3104198,0.15175731,-0.2393967,-0.09087184,0.39831245,-0.2774742,0.21364592,-0.004542749,-0.36115488,-0.089335315,-0.10392528,-0.29060972,0.3239125,-0.10611556,-0.22191164,0.08571945,-0.024482463,-0.3994292
1,组01,排01,这,1.6919957,-0.5008034,0.792401,1.1662878,1.2550025,0.17084473,-0.057332013,-0.8563569,-0.81334215,0.37239468,0.18631954,0.60300714,0.66408676,-0.1682087,-0.87450325,-0.21140644,-0.33925152,0.31605026,-0.69991773,-1.2808853,-0.56006163,-0.34896433,-0.8265616,-0.19017175,-1.0502439,-0.028664695,0.53733397,0.17585395,0.07854471,-0.3948319,0.060682546,0.21066779,-0.31041998,0.15175705,-0.23939706,-0.090871766,0.39831227,-0.27747416,0.21364619,-0.0045424937,-0.36115488,-0.08933524,-0.10392514,-0.29060996,0.32391286,-0.10611566,-0.2219113,0.085719064,-0.024482483,-0.3994292
2,组01,排02,节,3.1677096,-0.8826264,-0.46156096,1.3889326,-0.017239839,1.5653194,0.34096456,1.0332673,-0.23437135,0.63951683,0.42264622,0.32883534,-0.13543704,-0.26779804,-0.62588346,-0.15429561,0.09423325,0.73892635,0.043658525,-0.42518103,-0.077720486,-0.53298,-0.1636462,0.19551589,-0.25954372,-0.34158653,0.54369426,-0.16170445,-0.1041584,0.29869154,0.5771063,0.3140264,-0.44438213,-0.19859101,0.13359708,-0.010721988,0.2159348,-0.2396828,-0.047035106,-0.60466677,-0.18270585,0.39457816,0.47941828,-0.3376513,0.15167573,-0.23710349,-0.6109748,0.6666173,0.001519187,0.12947322
2,组01,排02,这,3.1677096,-0.8826263,-0.46156082,1.3889319,-0.017238699,1.5653188,0.3409641,1.0332669,-0.23437124,0.6395167,0.42264652,0.32883543,-0.13543679,-0.26779735,-0.6258833,-0.1542954,0.09423368,0.7389264,0.043658596,-0.42518133,-0.07772044,-0.53297985,-0.16364606,0.19551598,-0.25954324,-0.3415865,0.543694,-0.16170453,-0.10415848,0.29869166,0.57710636,0.31402674,-0.44438183,-0.19859093,0.13359678,-0.010721848,0.21593423,-0.23968287,-0.047035325,-0.60466653,-0.18270586,0.39457828,0.47941756,-0.33765125,0.15167564,-0.23710345,-0.61097485,0.6666166,0.0015189577,0.12947308
2,组01,排02,考,3.1677096,-0.88262624,-0.46156096,1.3889323,-0.017239269,1.5653197,0.34096432,1.033267,-0.23437144,0.6395152,0.42264676,0.32883525,-0.13543664,-0.26779768,-0.62588334,-0.15429455,0.094233125,0.7389268,0.0436586,-0.4251815,-0.07772035,-0.53298,-0.16364619,0.19551608,-0.25954327,-0.3415863,0.5436944,-0.1617042,-0.1041585,0.2986914,0.5771063,0.3140269,-0.44438228,-0.1985909,0.1335969,-0.010721828,0.21593483,-0.23968257,-0.047035195,-0.6046664,-0.18270591,0.39457846,0.47941777,-0.33765155,0.15167591,-0.23710343,-0.6109746,0.6666169,0.0015191596,0.12947287
3,组01,排03,考,0.61369544,-0.22517031,-0.052815992,-0.150239,-0.23121335,0.1720418,-0.72349143,-0.21838462,-0.5747682,1.2344879,-0.39269787,0.17188102,0.82251596,-1.4650433,-0.40696892,-0.054216247,0.068418235,0.22533385,1.3346021,-1.050007,0.047262363,-0.20904152,-1.093981,0.5574136,-1.0286773,-0.11591463,-0.014686247,-0.11787771,-0.56073856,0.68432987,1.0285707,0.0010081343,0.31286865,-0.44729614,0.34676555,-0.012366995,-0.20855086,0.60054666,-0.14753284,0.33298296,0.45422477,0.34441093,0.34640026,0.53400123,0.008228394,0.24409352,0.37931788,-0.42154357,-0.26097664,-0.09050674
3,组01,排03,节,0.61369544,-0.22517031,-0.052815996,-0.15023904,-0.23121338,0.1720418,-0.72349185,-0.21838474,-0.574768,1.2344874,-0.39269763,0.17188115,0.8225155,-1.465043,-0.40696874,-0.054217245,0.068417884,0.22533381,1.3346026,-1.0500073,0.047263198,-0.20904161,-1.0939802,0.55741334,-1.0286777,-0.11591469,-0.014686535,-0.117878,-0.56073827,0.6843302,1.0285717,0.0010081594,0.31286833,-0.4472963,0.3467658,-0.012366744,-0.2085511,0.60054666,-0.1475323,0.33298266,0.45422462,0.34441105,0.34640035,0.53400093,0.008228454,0.24409343,0.37931812,-0.42154324,-0.26097676,-0.090506494
3,组01,排03,这,0.61369544,-0.22517031,-0.05281601,-0.15023902,-0.23121336,0.17204207,-0.72349226,-0.2183845,-0.57476854,1.234488,-0.39269763,0.17188026,0.8225156,-1.465043,-0.4069684,-0.05421714,0.068416916,0.22533348,1.3346016,-1.0500072,0.047262866,-0.20904079,-1.0939803,0.5574129,-1.0286773,-0.11591478,-0.01468657,-0.11787778,-0.56073886,0.6843302,1.0285718,0.0010082057,0.31286833,-0.44729623,0.34676582,-0.012366681,-0.20855145,0.6005468,-0.14753267,0.3329824,0.45422444,0.34441102,0.34640014,0.53400147,0.0082282815,0.24409342,0.3793178,-0.42154348,-0.26097625,-0.09050643
4,组01,排04,考,3.083615,-0.12613115,-0.11127568,0.5477215,-0.045497786,0.36122897,-0.06525737,0.8501356,-0.39236295,1.0283852,0.31145605,-0.45735633,-0.11839915,-0.9396344,-0.42323285,-0.81829834,0.5456457,0.094121344,0.52117974,-0.34248054,-0.111440495,-0.3111111,-0.19404182,-0.087598905,-0.3554126,-0.35379696,0.6115743,0.16862084,-0.5570342,0.011492467,0.6773731,-0.0098379655,-0.0049848002,-0.10258227,0.30493954,-0.1605921,0.6404535,-0.23295374,-0.21809754,-0.46366993,-0.41464463,0.67296976,0.3231276,-0.40695482,0.24378349,-0.23110348,-0.3276831,0.12872091,0.10576591,0.30757558
4,组01,排04,这,3.083615,-0.12613115,-0.11127568,0.5477215,-0.0454978,0.36122888,-0.06525749,0.8501357,-0.39236304,1.0283849,0.31145605,-0.45735636,-0.11839967,-0.93963486,-0.42323306,-0.8182987,0.54564536,0.09412106,0.5211793,-0.34248063,-0.11144106,-0.31111103,-0.1940426,-0.0875992,-0.3554132,-0.3537969,0.6115744,0.16862091,-0.5570342,0.01149218,0.6773733,-0.009838066,-0.0049850727,-0.10258253,0.30493966,-0.1605922,0.64045316,-0.23295408,-0.21809754,-0.46366984,-0.4146447,0.67296934,0.3231277,-0.40695462,0.2437837,-0.2311034,-0.32768282,0.12872115,0.1057658,0.30757535
