group,order,char,time,pc1,pc2
组01,排01,节,1,69.548515,-9.520148
组01,排01,考,1,64.38684,-16.155212
组01,排01,这,1,74.06405,-16.268242
组01,排02,节,2,-14.83887,-56.1222
组01,排02,这,2,-10.106741,-62.469204
组01,排02,考,2,-6.4354615,-55.437412
组01,排03,考,3,62.492004,-60.377136
组01,排03,节,3,55.47652,-64.18943
组01,排03,这,3,56.074276,-55.69654
组01,排04,考,4,-7.631822,-42.963116
组01,排04,这,4,-12.165579,-36.63377
组01,排04,节,4,-16.004635,-43.50207
组01,排05,这,5,43.70121,-63.45076
组01,排05,节,5,44.3664,-55.08969
组01,排05,考,5,37.302105,-58.76076
组01,排06,这,6,76.55967,-24.804674
组01,排06,考,6,66.66826,-24.770514
组01,排06,节,6,71.34264,-31.404242
组02,排01,报,1,106.72658,-57.3753
组02,排01,兴,1,115.409515,-54.57887
组02,排01,长,1,109.00788,-49.573166
组02,排02,报,2,72.38876,-100.01631
组02,排02,长,2,77.64776,-107.939095
组02,排02,兴,2,77.81269,-92.233955
组02,排03,兴,3,7.152367,63.763985
组02,排03,报,3,12.218402,57.807247
组02,排03,长,3,4.2560277,56.586983
组02,排04,兴,4,87.946266,-105.26627
组02,排04,长,4,88.02671,-95.13627
组02,排04,报,4,81.39326,-100.12703
组02,排05,长,5,5.868525,41.63913
组02,排05,报,5,10.7273245,35.710567
组02,排05,兴,5,13.649574,42.7703
组02,排06,长,6,110.03794,-67.2389
组02,排06,兴,6,118.374275,-64.52868
组02,排06,报,6,116.2633,-72.18679
组03,排01,及,1,-199.07977,-67.320335
组03,排01,以,1,-191.94809,-62.645786
组03,排01,近,1,-190.01004,-70.588326
组03,排02,及,2,-117.08311,-63.857212
组03,排02,近,2,-125.011314,-61.81782
组03,排02,以,2,-121.11945,-54.613934
组03,排03,以,3,-164.85484,-77.33689
组03,排03,及,3,-165.15178,-69.1318
组03,排03,近,3,-157.54944,-71.929565
组03,排04,以,4,-133.6383,-65.523094
组03,排04,近,4,-126.01509,-70.57497
组03,排04,及,4,-132.0694,-56.51432
组03,排05,近,5,-158.93762,-85.68394
组03,排05,及,5,-151.84805,-80.32164
组03,排05,以,5,-151.32852,-88.31024
组03,排06,近,6,-199.87515,-76.517265
组03,排06,以,6,-197.50266,-84.448746
组03,排06,及,6,-190.46043,-79.7212
组04,排01,克,1,34.43433,226.1498
组04,排01,反,1,34.43433,226.1498
组04,排01,就,1,31.206635,217.59479
组04,排02,克,2,-14.235609,208.88544
组04,排02,就,2,-13.261855,217.93057
组04,排02,反,2,-13.261855,217.93057
组04,排03,反,3,3.267041,240.43181
组04,排03,克,3,3.267041,240.43181
组04,排03,就,3,3.267041,240.43181
组04,排04,反,4,-2.1108134,211.88356
组04,排04,就,4,-2.1108134,211.88356
组04,排04,克,4,-2.1108134,211.88356
组04,排05,就,5,14.259561,241.04538
组04,排05,克,5,14.259561,241.04538
组04,排05,反,5,14.259561,241.04538
组04,排06,就,6,45.673172,225.65529
组04,排06,反,6,42.55411,217.06099
组04,排06,克,6,42.55411,217.06099
组05,排01,时,1,28.047184,-179.61392
组05,排01,性,1,28.047184,-179.61392
组05,排01,备,1,32.916264,-187.65236
组05,排02,时,2,-63.710915,-122.098145
组05,排02,备,2,-63.710915,-122.098145
组05,排02,性,2,-63.710915,-122.098145
组05,排03,性,3,-29.635609,-103.7638
组05,排03,时,3,-36.531063,-108.42779
组05,排03,备,3,-29.332874,-111.69038
组05,排04,性,4,-49.082634,-126.68538
组05,排04,备,4,-49.082634,-126.68538
组05,排04,时,4,-53.831093,-133.49527
组05,排05,备,5,-44.525043,-90.56511
组05,排05,时,5,-37.20926,-93.40235
组05,排05,性,5,-43.946514,-98.2368
组05,排06,备,6,28.253384,-169.98828
组05,排06,性,6,39.119823,-180.73755
组05,排06,时,6,36.83559,-172.51767
组06,排01,处,1,-45.15496,-172.6518
组06,排01,爱,1,-45.15496,-172.6518
组06,排01,坐,1,-45.15496,-172.6518
组06,排02,处,2,-18.601078,-147.71739
组06,排02,坐,2,-18.601078,-147.71739
组06,排02,爱,2,-18.601078,-147.71739
组06,排03,爱,3,-23.88683,-190.1638
组06,排03,处,3,-23.88683,-190.1638
组06,排03,坐,3,-23.88683,-190.1638
组06,排04,爱,4,-29.592249,-150.68826
组06,排04,坐,4,-29.592249,-150.68826
组06,排04,处,4,-23.201904,-158.06622
组06,排05,坐,5,-11.673999,-197.37444
组06,排05,处,5,-11.673999,-197.37444
组06,排05,爱,5,-11.673999,-197.37444
组06,排06,坐,6,-54.467865,-166.2075
组06,排06,爱,6,-59.966633,-172.25217
组06,排06,处,6,-54.67446,-178.5233
组07,排01,期,1,-20.953388,-5.6205964
组07,排01,应,1,-29.367002,-4.2288795
组07,排01,表,1,-29.367002,-4.2288795
组07,排02,期,2,110.3648,49.084255
组07,排02,表,2,110.3648,49.084255
组07,排02,应,2,117.14372,55.244164
组07,排03,应,3,201.91525,4.2718396
组07,排03,期,3,201.91525,4.2718396
组07,排03,表,3,201.91525,4.2718396
组07,排04,应,4,121.962715,38.518364
组07,排04,表,4,113.60928,39.484074
组07,排04,期,4,121.44159,46.66828
组07,排05,表,5,198.79343,-6.6018534
组07,排05,期,5,198.79343,-6.6018534
组07,排05,应,5,198.79343,-6.6018534
组07,排06,表,6,-33.79935,-16.033825
组07,排06,应,6,-25.38841,-17.200554
组07,排06,期,6,-25.38841,-17.200554
组08,排01,者,1,75.20937,29.00309
组08,排01,年,1,84.04864,29.495113
组08,排01,候,1,86.9191,37.878036
组08,排02,者,2,-17.847034,21.764944
组08,排02,候,2,-23.152739,27.226294
组08,排02,年,2,-15.68235,29.148438
组08,排03,年,3,162.86125,-57.649033
组08,排03,者,3,162.86125,-57.649033
组08,排03,候,3,165.89978,-49.599728
组08,排04,年,4,7.3628554,12.804793
组08,排04,候,4,-0.17438841,14.36394
组08,排04,者,4,-0.17438841,14.36394
组08,排05,候,5,176.29297,-58.097015
组08,排05,者,5,176.29297,-58.097015
组08,排05,年,5,176.29297,-58.097015
组08,排06,候,6,78.6533,45.412037
组08,排06,年,6,70.56541,39.709778
组08,排06,者,6,78.180786,37.254623
组09,排01,海,1,-118.69612,-9.395764
组09,排01,叫,1,-118.69612,-9.395764
组09,排01,该,1,-118.69612,-9.395764
组09,排02,海,2,-136.46352,38.23451
组09,排02,该,2,-131.9776,30.582945
组09,排02,叫,2,-136.26529,23.237637
组09,排03,叫,3,-128.20955,-148.25215
组09,排03,海,3,-128.20955,-148.25215
组09,排03,该,3,-135.35129,-154.63556
组09,排04,叫,4,-143.46735,31.588573
组09,排04,该,4,-145.53374,22.419651
组09,排04,海,4,-143.46735,31.588573
组09,排05,该,5,-121.79565,-156.15727
组09,排05,海,5,-121.79565,-156.15727
组09,排05,叫,5,-129.64175,-161.6516
组09,排06,该,6,-113.295616,0.035726935
组09,排06,叫,6,-107.892586,-8.601457
组09,排06,海,6,-107.892586,-8.601457
组10,排01,务,1,51.691338,89.01644
组10,排01,做,1,42.850895,89.11343
组10,排01,与,1,51.691338,89.01644
组10,排02,务,2,86.00435,94.388176
组10,排02,与,2,82.94021,103.363914
组10,排02,做,2,82.94021,103.363914
组10,排03,做,3,26.031733,91.081795
组10,排03,务,3,18.88092,95.25422
组10,排03,与,3,27.728838,99.15456
组10,排04,做,4,93.398796,100.04749
组10,排04,与,4,84.5545,112.837326
组10,排04,务,4,92.69217,108.7127
组10,排05,与,5,18.327303,106.076584
组10,排05,务,5,18.327303,106.076584
组10,排05,做,5,26.641743,109.471054
组10,排06,与,6,45.66104,99.214325
组10,排06,做,6,50.116474,106.29143
组10,排06,务,6,55.341175,99.34944
组11,排01,您,1,-158.10329,-13.648912
组11,排01,活,1,-158.10329,-13.648912
组11,排01,面,1,-158.10329,-13.648912
组11,排02,您,2,-192.90291,18.746052
组11,排02,面,2,-192.90291,18.746052
组11,排02,活,2,-192.90291,18.746052
组11,排03,活,3,-104.70317,-100.72862
组11,排03,您,3,-104.70317,-100.72862
组11,排03,面,3,-104.70317,-100.72862
组11,排04,活,4,-195.23503,8.079602
组11,排04,面,4,-195.23503,8.079602
组11,排04,您,4,-195.23503,8.079602
组11,排05,面,5,-94.793495,-106.46425
组11,排05,您,5,-94.793495,-106.46425
组11,排05,活,5,-94.793495,-106.46425
组11,排06,面,6,-165.2961,-22.41402
组11,排06,活,6,-155.67903,-24.730635
组11,排06,您,6,-155.67903,-24.730635
组12,排01,言,1,-108.14113,128.5892
组12,排01,复,1,-108.14113,128.5892
组12,排01,友,1,-108.14113,128.5892
组12,排02,言,2,-121.89943,186.4674
组12,排02,友,2,-121.89943,186.4674
组12,排02,复,2,-121.89943,186.4674
组12,排03,复,3,-139.33165,142.96213
组12,排03,言,3,-139.33165,142.96213
组12,排03,友,3,-132.99507,150.96585
组12,排04,复,4,-132.94601,186.17429
组12,排04,友,4,-132.94601,186.17429
组12,排04,言,4,-132.94601,186.17429
组12,排05,友,5,-143.71382,152.97832
组12,排05,言,5,-143.71382,152.97832
组12,排05,复,5,-143.71382,152.97832
组12,排06,友,6,-118.961914,130.13028
组12,排06,复,6,-113.02324,138.42358
组12,排06,言,6,-113.02324,138.42358
组13,排01,哪,1,-79.628174,25.115463
组13,排01,认,1,-85.685776,30.240149
组13,排01,行,1,-85.685776,30.240149
组13,排02,哪,2,158.45302,-88.021255
组13,排02,行,2,153.2835,-94.83184
组13,排02,认,2,153.2835,-94.83184
组13,排03,认,3,124.44149,-133.04155
组13,排03,哪,3,124.44149,-133.04155
组13,排03,行,3,130.17375,-140.98969
组13,排04,认,4,166.20201,-99.134
组13,排04,行,4,166.20201,-99.134
组13,排04,哪,4,166.20201,-99.134
组13,排05,行,5,135.47723,-131.12398
组13,排05,哪,5,135.47723,-131.12398
